agent-1  | 2026-09-12T01:04:34.525307Z [warning  ] detector.out_of_scope_drop     path=/runc-process756726745 total_drops=52
agent-1  | 2026-09-12T01:04:34.552293Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=2216bc05-4174-4596-af47-89e1c4f1614e path=/watch/latency-ext-063.txt
agent-1  | 2026-09-12T01:04:34.555893Z [warning  ] detector.out_of_scope_drop     path=/runc-process756726745 total_drops=53
agent-1  | 2026-09-12T01:04:34.558027Z [info     ] publisher.event_published      event_id=2216bc05-4174-4596-af47-89e1c4f1614e
agent-1  | 2026-09-12T01:04:34.559594Z [info     ] detector.change_detected       event_id=2216bc05-4174-4596-af47-89e1c4f1614e event_type=file_modified path=/watch/latency-ext-063.txt
agent-1  | 2026-09-12T01:04:34.564114Z [info     ] publisher.event_acked          event_id=2216bc05-4174-4596-af47-89e1c4f1614e
agent-1  | 2026-09-12T01:04:34.648541Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=5000de67-6ddd-46cf-ad06-6dc670d5c63d path=/watch/latency-ext-064.txt
agent-1  | 2026-09-12T01:04:34.656271Z [info     ] publisher.event_published      event_id=5000de67-6ddd-46cf-ad06-6dc670d5c63d
agent-1  | 2026-09-12T01:04:34.658436Z [info     ] detector.change_detected       event_id=5000de67-6ddd-46cf-ad06-6dc670d5c63d event_type=file_modified path=/watch/latency-ext-064.txt
agent-1  | 2026-09-12T01:04:34.668930Z [info     ] publisher.event_acked          event_id=5000de67-6ddd-46cf-ad06-6dc670d5c63d
agent-1  | 2026-09-12T01:04:34.692784Z [warning  ] detector.out_of_scope_drop     path=/runc-process4205853687 total_drops=54
agent-1  | 2026-09-12T01:04:34.693265Z [warning  ] detector.out_of_scope_drop     path=/runc-process4205853687 total_drops=55
agent-1  | 2026-09-12T01:04:34.724197Z [warning  ] detector.out_of_scope_drop     path=/runc-process4205853687 total_drops=56
agent-1  | 2026-09-12T01:04:34.737431Z [info     ] decision.evaluated             action=alert_only action_failed=False event_id=2e40c108-f375-4214-9bcf-dc08b9f7a1d5 path=/watch/latency-ext-065.txt
agent-1  | 2026-09-12T01:04:34.741808Z [info     ] publisher.event_published      event_id=2e40c108-f375-4214-9bcf-dc08b9f7a1d5
agent-1  | 2026-09-12T01:04:34.743380Z [info     ] detector.change_detected       event_id=2e40c108-f375-4214-9bcf-dc08b9f7a1d5 event_type=file_modified path=/watch/latency-ext-065.txt
