[2026-09-17T22:41:16.789224727Z] === Batería 5 — etiqueta=nominal rate_limit=100/60s ===
[2026-09-17T22:41:16.801053312Z] candidato=7a906c202e417aec5f03d9a7545e216a724aca81 arbol=1d5848c435a6a3a06725e9bceb57e586977e9c9a tag=v1.0-tesis
[2026-09-17T22:41:17.126909036Z] eventos_iniciales=0 cola_inicial=-1
[2026-09-17T22:41:17.132958287Z] --- fase 1: detener el backend (corte de 5 minutos) ---
[2026-09-17T22:41:18.221916342Z] backend detenido
[2026-09-17T22:41:18.228917042Z] --- fase 2: generar 3000 cambios a 10/s durante 300 s ---
========================================================================
generador_carga.py — arranque 2026-09-17T22:41:18.947892+00:00
========================================================================
  generador                    = scripts/generador_carga.py
 [00100/3000] modify simple     /srv/fim-watch/gen_00013.txt ts=2026-09-17T22:41:28.853216+00:00
 [00101/3000] modify revertido  /srv/fim-watch/gen_00013.txt ts=2026-09-17T22:41:28.953055+00:00
 [00102/3000] modify revertido  /srv/fim-watch/gen_00013.txt ts=2026-09-17T22:41:29.052784+00:00
 [00103/3000] modify revertido  /srv/fim-watch/gen_00013.txt ts=2026-09-17T22:41:29.153318+00:00
 [00104/3000] modify revertido  /srv/fim-watch/gen_00013.txt ts=2026-09-17T22:41:29.252742+00:00
 [00105/3000] create simple     /srv/fim-watch/gen_00019.txt ts=2026-09-17T22:41:29.352914+00:00
 [00106/3000] delete simple     /srv/fim-watch/gen_00008.txt ts=2026-09-17T22:41:29.452911+00:00
 [00107/3000] create simple     /srv/fim-watch/gen_00020.txt ts=2026-09-17T22:41:29.552906+00:00
 [00108/3000] modify revertido  /srv/fim-watch/gen_00018.txt ts=2026-09-17T22:41:29.653281+00:00
 [00109/3000] modify revertido  /srv/fim-watch/gen_00018.txt ts=2026-09-17T22:41:29.752811+00:00
 [00110/3000] modify simple     /srv/fim-watch/gen_00020.txt ts=2026-09-17T22:41:29.853021+00:00
 [00111/3000] modify simple     /srv/fim-watch/gen_00018.txt ts=2026-09-17T22:41:29.953076+00:00
 [00112/3000] modify simple     /srv/fim-watch/gen_00015.txt ts=2026-09-17T22:41:30.052774+00:00
 [00113/3000] delete simple     /srv/fim-watch/gen_00010.txt ts=2026-09-17T22:41:30.152648+00:00
 [00114/3000] modify simple     /srv/fim-watch/gen_00013.txt ts=2026-09-17T22:41:30.252663+00:00
 [00115/3000] modify simple     /srv/fim-watch/gen_00013.txt ts=2026-09-17T22:41:30.353507+00:00
 [00116/3000] create simple     /srv/fim-watch/gen_00021.txt ts=2026-09-17T22:41:30.453150+00:00
 [00117/3000] modify simple     /srv/fim-watch/gen_00011.txt ts=2026-09-17T22:41:30.552592+00:00
 [00118/3000] modify simple     /srv/fim-watch/gen_00021.txt ts=2026-09-17T22:41:30.653204+00:00
 [00119/3000] delete simple     /srv/fim-watch/gen_00021.txt ts=2026-09-17T22:41:30.752716+00:00
 [00120/3000] create simple     /srv/fim-watch/gen_00022.txt ts=2026-09-17T22:41:30.853072+00:00
 [00121/3000] create simple     /srv/fim-watch/critico/gen_00023.txt ts=2026-09-17T22:41:30.953423+00:00
 [00122/3000] modify colapsado  /srv/fim-watch/gen_00022.txt ts=2026-09-17T22:41:31.052708+00:00
 [00123/3000] modify colapsado  /srv/fim-watch/gen_00022.txt ts=2026-09-17T22:41:31.152810+00:00
 [00124/3000] modify colapsado  /srv/fim-watch/gen_00022.txt ts=2026-09-17T22:41:31.253436+00:00
 [00125/3000] modify colapsado  /srv/fim-watch/gen_00022.txt ts=2026-09-17T22:41:31.353192+00:00
 [00126/3000] modify colapsado  /srv/fim-watch/gen_00022.txt ts=2026-09-17T22:41:31.453300+00:00
 [00127/3000] modify simple     /srv/fim-watch/gen_00011.txt ts=2026-09-17T22:41:31.552704+00:00
 [00128/3000] modify simple     /srv/fim-watch/gen_00020.txt ts=2026-09-17T22:41:31.652801+00:00
 [00129/3000] modify simple     /srv/fim-watch/gen_00015.txt ts=2026-09-17T22:41:31.752842+00:00
 [00130/3000] modify simple     /srv/fim-watch/gen_00020.txt ts=2026-09-17T22:41:31.853266+00:00
 [00131/3000] modify simple     /srv/fim-watch/gen_00006.txt ts=2026-09-17T22:41:31.952787+00:00
