========================================================================
generador_carga.py — arranque 2026-09-18T02:11:45.884765+00:00
========================================================================
  generador                    = scripts/generador_carga.py
  seed                         = 20260917
  rate_eventos_por_segundo     = 0.2778
  count                        = 500
  mix                          = {'creacion': 0.2, 'modificacion': 0.7, 'borrado': 0.1}
  revert_frac                  = 0.2
  burst_frac                   = 0.2
  burst_size                   = 5
  ephemeral_frac               = 0.2
  critical_subdir              = critico
  critical_frac                = 0.2
  file_size_bytes              = 64
  prefix                       = gen
  dir_host                     = /srv/fim-watch
  agent_prefix                 = /srv/fim-watch
  intervalo_s                  = 3.599712023038157
  duracion_estimada_s          = 1796.2562994960404
  manifiesto                   = /srv/evidencia/bateria3_manifiesto.json
  log                          = /srv/evidencia/bateria3_generador.log
  dry_run                      = False
  python                       = 3.13.15
  host                         = fim-host
 [00103/500] create simple     /srv/fim-watch/gen_00023.txt ts=2026-09-18T02:17:53.057351+00:00
 [00104/500] modify simple     /srv/fim-watch/gen_00014.txt ts=2026-09-18T02:17:56.657458+00:00
 [00105/500] delete simple     /srv/fim-watch/gen_00015.txt ts=2026-09-18T02:18:00.257011+00:00
 [00106/500] modify simple     /srv/fim-watch/gen_00019.txt ts=2026-09-18T02:18:03.857069+00:00
 [00107/500] modify simple     /srv/fim-watch/gen_00007.txt ts=2026-09-18T02:18:07.456759+00:00
 [00108/500] modify colapsado  /srv/fim-watch/gen_00023.txt ts=2026-09-18T02:18:11.056272+00:00
 [00109/500] modify colapsado  /srv/fim-watch/gen_00023.txt ts=2026-09-18T02:18:14.655763+00:00
 [00110/500] modify colapsado  /srv/fim-watch/gen_00023.txt ts=2026-09-18T02:18:18.255780+00:00
 [00111/500] modify colapsado  /srv/fim-watch/gen_00023.txt ts=2026-09-18T02:18:21.855138+00:00
 [00112/500] modify colapsado  /srv/fim-watch/gen_00023.txt ts=2026-09-18T02:18:25.455221+00:00
 [00113/500] modify simple     /srv/fim-watch/gen_00013.txt ts=2026-09-18T02:18:29.054566+00:00
 [00114/500] modify simple     /srv/fim-watch/gen_00005.txt ts=2026-09-18T02:18:32.654346+00:00
 [00115/500] modify simple     /srv/fim-watch/critico/gen_00022.txt ts=2026-09-18T02:18:36.254238+00:00
 [00116/500] modify simple     /srv/fim-watch/gen_00023.txt ts=2026-09-18T02:18:39.853902+00:00
 [00117/500] create simple     /srv/fim-watch/critico/gen_00024.txt ts=2026-09-18T02:18:43.453525+00:00
 [00118/500] modify simple     /srv/fim-watch/critico/gen_00024.txt ts=2026-09-18T02:18:47.053355+00:00
